Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28001 Acebeda, La;2800101 Acebeda, La distrito 01;2800101001 Acebeda, La sección 01001;Renta neta media por persona;2023;16.893
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Renta neta media por persona;2023;16.906
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Renta neta media por persona;2023;15.345
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Renta neta media por persona;2023;19.327
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401001 Álamo, El sección 01001;Renta neta media por persona;2023;12.003
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401002 Álamo, El sección 01002;Renta neta media por persona;2023;13.156
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401003 Álamo, El sección 01003;Renta neta media por persona;2023;11.831
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401004 Álamo, El sección 01004;Renta neta media por persona;2023;13.571
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501001 Alcalá de Henares sección 01001;Renta neta media por persona;2023;17.674
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501002 Alcalá de Henares sección 01002;Renta neta media por persona;2023;16.133
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501003 Alcalá de Henares sección 01003;Renta neta media por persona;2023;17.448
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501004 Alcalá de Henares sección 01004;Renta neta media por persona;2023;17.057
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501005 Alcalá de Henares sección 01005;Renta neta media por persona;2023;19.350
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501006 Alcalá de Henares sección 01006;Renta neta media por persona;2023;17.192
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501007 Alcalá de Henares sección 01007;Renta neta media por persona;2023;13.181
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501008 Alcalá de Henares sección 01008;Renta neta media por persona;2023;12.948
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501009 Alcalá de Henares sección 01009;Renta neta media por persona;2023;13.071
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501010 Alcalá de Henares sección 01010;Renta neta media por persona;2023;15.761
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501011 Alcalá de Henares sección 01011;Renta neta media por persona;2023;14.855
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501012 Alcalá de Henares sección 01012;Renta neta media por persona;2023;15.591
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501013 Alcalá de Henares sección 01013;Renta neta media por persona;2023;17.562
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501014 Alcalá de Henares sección 01014;Renta neta media por persona;2023;19.757
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501015 Alcalá de Henares sección 01015;Renta neta media por persona;2023;15.955
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501016 Alcalá de Henares sección 01016;Renta neta media por persona;2023;14.611
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501017 Alcalá de Henares sección 01017;Renta neta media por persona;2023;13.359
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501018 Alcalá de Henares sección 01018;Renta neta media por persona;2023;12.087
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501020 Alcalá de Henares sección 01020;Renta neta media por persona;2023;12.480
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501021 Alcalá de Henares sección 01021;Renta neta media por persona;2023;18.268
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501022 Alcalá de Henares sección 01022;Renta neta media por persona;2023;15.093
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501023 Alcalá de Henares sección 01023;Renta neta media por persona;2023;18.964
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501024 Alcalá de Henares sección 01024;Renta neta media por persona;2023;19.549
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502001 Alcalá de Henares sección 02001;Renta neta media por persona;2023;12.192
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502002 Alcalá de Henares sección 02002;Renta neta media por persona;2023;12.654
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502003 Alcalá de Henares sección 02003;Renta neta media por persona;2023;12.723
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502004 Alcalá de Henares sección 02004;Renta neta media por persona;2023;10.588
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502005 Alcalá de Henares sección 02005;Renta neta media por persona;2023;10.112
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502006 Alcalá de Henares sección 02006;Renta neta media por persona;2023;10.255
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502007 Alcalá de Henares sección 02007;Renta neta media por persona;2023;10.466
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502008 Alcalá de Henares sección 02008;Renta neta media por persona;2023;11.975
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502009 Alcalá de Henares sección 02009;Renta neta media por persona;2023;""
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502010 Alcalá de Henares sección 02010;Renta neta media por persona;2023;10.131
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502011 Alcalá de Henares sección 02011;Renta neta media por persona;2023;8.105
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502012 Alcalá de Henares sección 02012;Renta neta media por persona;2023;9.131
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502013 Alcalá de Henares sección 02013;Renta neta media por persona;2023;9.945
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502014 Alcalá de Henares sección 02014;Renta neta media por persona;2023;12.227
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502015 Alcalá de Henares sección 02015;Renta neta media por persona;2023;10.142
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502016 Alcalá de Henares sección 02016;Renta neta media por persona;2023;12.470
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502017 Alcalá de Henares sección 02017;Renta neta media por persona;2023;11.446
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502018 Alcalá de Henares sección 02018;Renta neta media por persona;2023;13.681
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502019 Alcalá de Henares sección 02019;Renta neta media por persona;2023;12.013
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502020 Alcalá de Henares sección 02020;Renta neta media por persona;2023;12.591
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502021 Alcalá de Henares sección 02021;Renta neta media por persona;2023;11.769
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502022 Alcalá de Henares sección 02022;Renta neta media por persona;2023;11.929
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502023 Alcalá de Henares sección 02023;Renta neta media por persona;2023;11.294
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502024 Alcalá de Henares sección 02024;Renta neta media por persona;2023;11.074
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502025 Alcalá de Henares sección 02025;Renta neta media por persona;2023;11.475
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502026 Alcalá de Henares sección 02026;Renta neta media por persona;2023;14.201
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502027 Alcalá de Henares sección 02027;Renta neta media por persona;2023;12.137
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502028 Alcalá de Henares sección 02028;Renta neta media por persona;2023;16.480
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502029 Alcalá de Henares sección 02029;Renta neta media por persona;2023;20.512
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502030 Alcalá de Henares sección 02030;Renta neta media por persona;2023;11.999
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502031 Alcalá de Henares sección 02031;Renta neta media por persona;2023;19.378
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502032 Alcalá de Henares sección 02032;Renta neta media por persona;2023;13.849
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502033 Alcalá de Henares sección 02033;Renta neta media por persona;2023;13.638
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502034 Alcalá de Henares sección 02034;Renta neta media por persona;2023;14.372
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502035 Alcalá de Henares sección 02035;Renta neta media por persona;2023;14.223
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502036 Alcalá de Henares sección 02036;Renta neta media por persona;2023;14.210
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502037 Alcalá de Henares sección 02037;Renta neta media por persona;2023;13.523
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502038 Alcalá de Henares sección 02038;Renta neta media por persona;2023;22.495
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503001 Alcalá de Henares sección 03001;Renta neta media por persona;2023;12.345
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503002 Alcalá de Henares sección 03002;Renta neta media por persona;2023;11.469
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503003 Alcalá de Henares sección 03003;Renta neta media por persona;2023;10.527
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503004 Alcalá de Henares sección 03004;Renta neta media por persona;2023;15.896
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503005 Alcalá de Henares sección 03005;Renta neta media por persona;2023;11.179
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503006 Alcalá de Henares sección 03006;Renta neta media por persona;2023;12.515
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503007 Alcalá de Henares sección 03007;Renta neta media por persona;2023;14.123
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503008 Alcalá de Henares sección 03008;Renta neta media por persona;2023;13.720
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503009 Alcalá de Henares sección 03009;Renta neta media por persona;2023;10.690
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503011 Alcalá de Henares sección 03011;Renta neta media por persona;2023;15.765
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503012 Alcalá de Henares sección 03012;Renta neta media por persona;2023;12.409
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503013 Alcalá de Henares sección 03013;Renta neta media por persona;2023;20.830
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503014 Alcalá de Henares sección 03014;Renta neta media por persona;2023;15.705
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503015 Alcalá de Henares sección 03015;Renta neta media por persona;2023;17.525
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503016 Alcalá de Henares sección 03016;Renta neta media por persona;2023;21.109
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503017 Alcalá de Henares sección 03017;Renta neta media por persona;2023;20.287
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503018 Alcalá de Henares sección 03018;Renta neta media por persona;2023;18.701
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504001 Alcalá de Henares sección 04001;Renta neta media por persona;2023;20.339
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504002 Alcalá de Henares sección 04002;Renta neta media por persona;2023;21.513
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504003 Alcalá de Henares sección 04003;Renta neta media por persona;2023;21.759
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504004 Alcalá de Henares sección 04004;Renta neta media por persona;2023;21.470
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504005 Alcalá de Henares sección 04005;Renta neta media por persona;2023;14.973
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504006 Alcalá de Henares sección 04006;Renta neta media por persona;2023;14.252
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504007 Alcalá de Henares sección 04007;Renta neta media por persona;2023;20.641
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504008 Alcalá de Henares sección 04008;Renta neta media por persona;2023;18.958
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504009 Alcalá de Henares sección 04009;Renta neta media por persona;2023;14.931
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504010 Alcalá de Henares sección 04010;Renta neta media por persona;2023;20.420
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504011 Alcalá de Henares sección 04011;Renta neta media por persona;2023;18.901
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504012 Alcalá de Henares sección 04012;Renta neta media por persona;2023;12.262
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504013 Alcalá de Henares sección 04013;Renta neta media por persona;2023;19.849
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504014 Alcalá de Henares sección 04014;Renta neta media por persona;2023;18.670
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504015 Alcalá de Henares sección 04015;Renta neta media por persona;2023;12.033
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504016 Alcalá de Henares sección 04016;Renta neta media por persona;2023;18.452
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504017 Alcalá de Henares sección 04017;Renta neta media por persona;2023;18.647
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504018 Alcalá de Henares sección 04018;Renta neta media por persona;2023;17.554
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504019 Alcalá de Henares sección 04019;Renta neta media por persona;2023;22.322
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504020 Alcalá de Henares sección 04020;Renta neta media por persona;2023;18.015
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504021 Alcalá de Henares sección 04021;Renta neta media por persona;2023;20.095
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505001 Alcalá de Henares sección 05001;Renta neta media por persona;2023;12.151
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505002 Alcalá de Henares sección 05002;Renta neta media por persona;2023;15.406
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505003 Alcalá de Henares sección 05003;Renta neta media por persona;2023;13.559
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505004 Alcalá de Henares sección 05004;Renta neta media por persona;2023;13.318
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505005 Alcalá de Henares sección 05005;Renta neta media por persona;2023;14.473
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505006 Alcalá de Henares sección 05006;Renta neta media por persona;2023;18.039
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505007 Alcalá de Henares sección 05007;Renta neta media por persona;2023;16.996
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505008 Alcalá de Henares sección 05008;Renta neta media por persona;2023;16.223
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505009 Alcalá de Henares sección 05009;Renta neta media por persona;2023;10.625
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505010 Alcalá de Henares sección 05010;Renta neta media por persona;2023;13.554
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505011 Alcalá de Henares sección 05011;Renta neta media por persona;2023;14.059
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505012 Alcalá de Henares sección 05012;Renta neta media por persona;2023;11.886
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505013 Alcalá de Henares sección 05013;Renta neta media por persona;2023;26.915
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505014 Alcalá de Henares sección 05014;Renta neta media por persona;2023;14.752
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505015 Alcalá de Henares sección 05015;Renta neta media por persona;2023;22.304
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505016 Alcalá de Henares sección 05016;Renta neta media por persona;2023;24.068
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505017 Alcalá de Henares sección 05017;Renta neta media por persona;2023;12.105
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505018 Alcalá de Henares sección 05018;Renta neta media por persona;2023;15.018
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505019 Alcalá de Henares sección 05019;Renta neta media por persona;2023;""
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505020 Alcalá de Henares sección 05020;Renta neta media por persona;2023;12.270
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505021 Alcalá de Henares sección 05021;Renta neta media por persona;2023;13.464
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505022 Alcalá de Henares sección 05022;Renta neta media por persona;2023;20.447
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505023 Alcalá de Henares sección 05023;Renta neta media por persona;2023;13.728
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505024 Alcalá de Henares sección 05024;Renta neta media por persona;2023;12.826
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505025 Alcalá de Henares sección 05025;Renta neta media por persona;2023;13.570
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505026 Alcalá de Henares sección 05026;Renta neta media por persona;2023;12.374
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505027 Alcalá de Henares sección 05027;Renta neta media por persona;2023;12.754
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505028 Alcalá de Henares sección 05028;Renta neta media por persona;2023;18.721
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505029 Alcalá de Henares sección 05029;Renta neta media por persona;2023;18.372
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505030 Alcalá de Henares sección 05030;Renta neta media por persona;2023;18.618
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505031 Alcalá de Henares sección 05031;Renta neta media por persona;2023;24.202
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505032 Alcalá de Henares sección 05032;Renta neta media por persona;2023;25.152
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601001 Alcobendas sección 01001;Renta neta media por persona;2023;12.814
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601002 Alcobendas sección 01002;Renta neta media por persona;2023;11.785
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601003 Alcobendas sección 01003;Renta neta media por persona;2023;10.473
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601004 Alcobendas sección 01004;Renta neta media por persona;2023;12.443
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601005 Alcobendas sección 01005;Renta neta media por persona;2023;11.676
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601006 Alcobendas sección 01006;Renta neta media por persona;2023;11.778
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601007 Alcobendas sección 01007;Renta neta media por persona;2023;11.546
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601008 Alcobendas sección 01008;Renta neta media por persona;2023;11.384
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601009 Alcobendas sección 01009;Renta neta media por persona;2023;10.926
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601011 Alcobendas sección 01011;Renta neta media por persona;2023;10.749
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601012 Alcobendas sección 01012;Renta neta media por persona;2023;11.328
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601013 Alcobendas sección 01013;Renta neta media por persona;2023;12.518
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601014 Alcobendas sección 01014;Renta neta media por persona;2023;11.219
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601015 Alcobendas sección 01015;Renta neta media por persona;2023;13.856
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601016 Alcobendas sección 01016;Renta neta media por persona;2023;12.314
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601017 Alcobendas sección 01017;Renta neta media por persona;2023;10.110
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601018 Alcobendas sección 01018;Renta neta media por persona;2023;11.411
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601019 Alcobendas sección 01019;Renta neta media por persona;2023;11.965
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601020 Alcobendas sección 01020;Renta neta media por persona;2023;""
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601021 Alcobendas sección 01021;Renta neta media por persona;2023;13.361
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601022 Alcobendas sección 01022;Renta neta media por persona;2023;13.070
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601023 Alcobendas sección 01023;Renta neta media por persona;2023;15.869
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601024 Alcobendas sección 01024;Renta neta media por persona;2023;13.925
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601025 Alcobendas sección 01025;Renta neta media por persona;2023;14.720
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601026 Alcobendas sección 01026;Renta neta media por persona;2023;16.789
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601027 Alcobendas sección 01027;Renta neta media por persona;2023;14.527
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601028 Alcobendas sección 01028;Renta neta media por persona;2023;15.693
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601029 Alcobendas sección 01029;Renta neta media por persona;2023;14.524
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601030 Alcobendas sección 01030;Renta neta media por persona;2023;20.984
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601031 Alcobendas sección 01031;Renta neta media por persona;2023;17.329
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601032 Alcobendas sección 01032;Renta neta media por persona;2023;15.933
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601033 Alcobendas sección 01033;Renta neta media por persona;2023;36.918
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601034 Alcobendas sección 01034;Renta neta media por persona;2023;36.918
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601035 Alcobendas sección 01035;Renta neta media por persona;2023;36.918
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601036 Alcobendas sección 01036;Renta neta media por persona;2023;36.918
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601037 Alcobendas sección 01037;Renta neta media por persona;2023;24.784
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601038 Alcobendas sección 01038;Renta neta media por persona;2023;17.095
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601039 Alcobendas sección 01039;Renta neta media por persona;2023;34.696
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601040 Alcobendas sección 01040;Renta neta media por persona;2023;36.918
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601041 Alcobendas sección 01041;Renta neta media por persona;2023;36.918
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601042 Alcobendas sección 01042;Renta neta media por persona;2023;12.525
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601043 Alcobendas sección 01043;Renta neta media por persona;2023;10.948
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601044 Alcobendas sección 01044;Renta neta media por persona;2023;21.023
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601045 Alcobendas sección 01045;Renta neta media por persona;2023;16.361
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601046 Alcobendas sección 01046;Renta neta media por persona;2023;16.029
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601047 Alcobendas sección 01047;Renta neta media por persona;2023;21.536
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601048 Alcobendas sección 01048;Renta neta media por persona;2023;36.918
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601049 Alcobendas sección 01049;Renta neta media por persona;2023;18.960
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601050 Alcobendas sección 01050;Renta neta media por persona;2023;27.766
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601051 Alcobendas sección 01051;Renta neta media por persona;2023;21.523
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601052 Alcobendas sección 01052;Renta neta media por persona;2023;26.660
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601053 Alcobendas sección 01053;Renta neta media por persona;2023;27.393
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601054 Alcobendas sección 01054;Renta neta media por persona;2023;16.217
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601055 Alcobendas sección 01055;Renta neta media por persona;2023;18.833
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601056 Alcobendas sección 01056;Renta neta media por persona;2023;16.339
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601057 Alcobendas sección 01057;Renta neta media por persona;2023;23.465
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601058 Alcobendas sección 01058;Renta neta media por persona;2023;15.095
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601059 Alcobendas sección 01059;Renta neta media por persona;2023;36.918
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601060 Alcobendas sección 01060;Renta neta media por persona;2023;24.357
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601061 Alcobendas sección 01061;Renta neta media por persona;2023;14.227
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601062 Alcobendas sección 01062;Renta neta media por persona;2023;18.062
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601063 Alcobendas sección 01063;Renta neta media por persona;2023;22.811
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601064 Alcobendas sección 01064;Renta neta media por persona;2023;17.873
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601065 Alcobendas sección 01065;Renta neta media por persona;2023;20.258
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601066 Alcobendas sección 01066;Renta neta media por persona;2023;21.931
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601067 Alcobendas sección 01067;Renta neta media por persona;2023;35.444
28006 Alcobendas;2800601 Alcobendas distrito 01;2800601068 Alcobendas sección 01068;Renta neta media por persona;2023;33.629
28007 Alcorcón;2800701 Alcorcón distrito 01;2800701001 Alcorcón sección 01001;Renta neta media por persona;2023;17.093
28007 Alcorcón;2800701 Alcorcón distrito 01;2800701002 Alcorcón sección 01002;Renta neta media por persona;2023;10.856
28007 Alcorcón;2800701 Alcorcón distrito 01;2800701003 Alcorcón sección 01003;Renta neta media por persona;2023;13.878
28007 Alcorcón;2800701 Alcorcón distrito 01;2800701004 Alcorcón sección 01004;Renta neta media por persona;2023;11.805
28007 Alcorcón;2800701 Alcorcón distrito 01;2800701005 Alcorcón sección 01005;Renta neta media por persona;2023;13.639
28007 Alcorcón;2800701 Alcorcón distrito 01;2800701006 Alcorcón sección 01006;Renta neta media por persona;2023;13.098
28007 Alcorcón;2800701 Alcorcón distrito 01;2800701007 Alcorcón sección 01007;Renta neta media por persona;2023;11.683
